Pulgar (Flexión 0-100),Índice (Flexión 0-100),Corazón (Flexión 0-100),Anular (Flexión 0-100),Meñique (Flexión 0-100),AX (Acelerómetro X en Gs),AY (Acelerómetro Y en Gs),AZ (Acelerómetro Z en Gs),GX (Giroscopio X en grados/seg),GY (Giroscopio Y en grados/seg),GZ (Giroscopio Z en grados/seg)
34.3,100.0,100.0,95.7,100.0,1.0178,-0.0959,0.1496,0.0,0.0,0.0
34.3,100.0,100.0,95.7,100.0,1.0174,-0.0947,0.1492,0.0,0.0,0.0
34.3,100.0,100.0,95.7,100.0,1.0174,-0.0947,0.1489,0.0,0.0,0.0
34.3,100.0,100.0,95.7,100.0,1.0177,-0.0948,0.1483,0.0,0.0,0.0
34.2,100.0,100.0,95.7,100.0,1.0181,-0.0953,0.1476,0.0,0.0,0.0
34.2,100.0,100.0,95.7,100.0,1.0181,-0.0948,0.148,0.0,0.0,0.0
34.2,100.0,100.0,95.7,100.0,1.0184,-0.0954,0.1472,0.0,0.0,0.0
34.1,100.0,100.0,95.7,100.0,1.0185,-0.0947,0.1471,0.0,0.0,0.0
34.1,100.0,100.0,95.7,100.0,1.0186,-0.0946,0.1463,0.0,0.0,0.0
34.0,100.0,100.0,95.7,100.0,1.0189,-0.0945,0.1465,0.0,0.0,0.0
34.0,100.0,100.0,95.8,100.0,1.019,-0.0945,0.1466,0.0,0.0,0.0
34.0,100.0,100.0,95.8,100.0,1.019,-0.094,0.1461,0.0,0.0,0.0
33.9,100.0,100.0,95.8,100.0,1.0193,-0.0936,0.1464,0.0,0.0,0.0
33.9,100.0,100.0,95.8,100.0,1.0193,-0.0936,0.1463,0.0,0.0,0.0
44.4,0.0,0.0,0.0,0.0,0.1195,0.9955,-0.0057,0.0,0.0,0.0
44.1,0.0,0.0,0.0,0.0,0.1323,0.9912,-0.0207,0.0,0.0,0.0
43.8,0.0,0.0,0.0,0.0,0.1384,0.9919,-0.0278,0.0,0.0,0.0
43.5,0.0,0.0,0.0,0.0,0.147,0.9937,-0.027,0.0,0.0,0.0
43.3,0.0,0.0,0.0,0.0,0.1529,0.9864,-0.0208,0.0,0.0,0.0
42.9,0.0,0.0,0.0,0.0,0.1624,0.9827,-0.0248,0.0,0.0,0.0
42.5,0.0,0.0,0.0,0.0,0.1777,0.9769,-0.0333,0.0,0.0,0.0
42.2,0.0,0.0,0.0,0.0,0.1784,0.9801,-0.0365,0.0,0.0,0.0
42.1,0.0,0.0,0.0,0.0,0.1767,0.9845,-0.0398,0.0,0.0,0.0
42.0,0.0,0.0,0.0,0.0,0.1786,0.9868,-0.039,0.0,0.0,0.0
41.9,0.0,0.0,0.0,0.0,0.1774,0.9842,-0.035,0.0,0.0,0.0
41.7,0.0,0.0,0.0,0.0,0.1765,0.9863,-0.0348,0.0,0.0,0.0
41.5,0.0,0.0,0.0,0.0,0.1774,0.9869,-0.0358,0.0,0.0,0.0
41.4,0.0,0.0,0.0,0.0,0.1743,0.9867,-0.0339,0.0,0.0,0.0
41.5,0.0,0.0,0.0,0.0,0.1722,0.9875,-0.038,0.0,0.0,0.0
41.6,0.0,0.0,0.0,0.0,0.169,0.9876,-0.0348,0.0,0.0,0.0
41.6,0.0,0.0,0.0,0.0,0.1674,0.9876,-0.0347,0.0,0.0,0.0
41.6,0.0,0.0,0.0,0.0,0.1678,0.9874,-0.0353,0.0,0.0,0.0
41.6,0.0,0.0,0.0,0.0,0.1678,0.9887,-0.0326,0.0,0.0,0.0
41.6,0.0,0.0,0.0,0.0,0.1683,0.988,-0.0323,0.0,0.0,0.0
41.6,0.0,0.0,0.0,0.0,0.1684,0.989,-0.032,0.0,0.0,0.0
41.5,0.0,0.0,0.0,0.0,0.1678,0.9905,-0.0325,0.0,0.0,0.0
41.6,0.0,0.0,0.0,0.0,0.1683,0.9888,-0.0329,0.0,0.0,0.0
41.8,0.0,0.0,0.0,0.0,0.168,0.9889,-0.0315,0.0,0.0,0.0
42.0,0.0,0.0,0.0,0.0,0.1679,0.989,-0.033,0.0,0.0,0.0
42.2,0.0,0.0,0.0,0.0,0.1675,0.9893,-0.0331,0.0,0.0,0.0
42.2,0.0,0.0,0.0,0.0,0.1676,0.9894,-0.0327,0.0,0.0,0.0
42.2,0.0,0.0,0.0,0.0,0.169,0.9874,-0.0347,0.0,0.0,0.0
42.1,0.0,0.0,0.0,0.0,0.169,0.9878,-0.0349,0.0,0.0,0.0
41.9,0.0,0.0,0.0,0.0,0.1702,0.9859,-0.0328,0.0,0.0,0.0
41.8,0.0,0.0,0.0,0.0,0.1689,0.9825,-0.0359,0.0,0.0,0.0
41.7,0.0,0.0,0.0,0.0,0.1669,0.9827,-0.0385,0.0,0.0,0.0
41.6,0.0,0.0,0.0,0.0,0.1733,0.9796,-0.0452,0.0,0.0,0.0
41.7,0.0,0.0,0.0,0.0,0.1615,0.9794,-0.0664,0.0,0.0,-4.3552
41.8,0.0,0.0,0.0,0.0,0.1431,0.9799,-0.0775,0.0,0.0,-6.2299
41.8,0.0,0.0,0.0,0.0,0.1246,0.9763,-0.0749,0.0,0.0,-8.0828
41.5,0.0,0.0,0.0,0.0,0.1018,0.9783,-0.0702,0.0,0.0,-8.2091
41.5,0.0,0.0,0.0,0.0,0.0816,0.9788,-0.0868,0.0,0.0,-9.1053
41.5,0.0,0.0,0.0,0.0,0.0646,0.9853,-0.0976,0.0,0.0,-9.5058
41.5,0.0,0.0,0.0,0.0,0.0515,0.9827,-0.1016,0.0,0.0,-9.1944
41.6,0.0,0.0,0.0,0.0,0.0399,0.9828,-0.1069,0.0,0.0,-9.0279
41.7,0.0,0.0,0.0,0.0,0.03,0.9856,-0.1087,0.0,0.0,-8.7361
41.8,0.0,0.0,0.0,0.0,0.0247,0.9846,-0.109,0.0,0.0,-8.6727
41.7,0.0,0.0,0.0,0.0,0.0173,0.9885,-0.1096,0.0,0.0,-8.8103
41.8,0.0,0.0,0.0,0.0,0.0112,0.9883,-0.1099,0.0,0.0,-8.5563
42.0,0.0,0.0,0.0,0.0,0.0078,0.9859,-0.1083,0.0,0.0,-8.207
42.2,0.0,0.0,0.0,0.0,0.0043,0.9865,-0.1063,0.0,0.0,-8.1561
42.3,0.0,0.0,0.0,0.0,0.0004,0.9879,-0.1062,0.0,0.0,-8.1133
42.4,0.0,0.0,0.0,0.0,-0.0024,0.9873,-0.1057,0.0,0.0,-8.0015
42.6,0.0,0.0,0.0,0.0,-0.0044,0.986,-0.1037,0.0,0.0,-8.0405
42.7,0.0,0.0,0.0,0.0,-0.0074,0.9881,-0.1017,0.0,0.0,-8.1917
42.9,0.0,0.0,0.0,0.0,-0.0101,0.9886,-0.1001,0.0,0.0,-7.9537
43.0,0.0,0.0,0.0,0.0,-0.012,0.9863,-0.1,0.0,0.0,-7.9724
43.2,0.0,0.0,0.0,0.0,-0.0137,0.988,-0.0986,0.0,0.0,-7.8861
43.4,0.0,0.0,0.0,0.0,-0.0144,0.9885,-0.0981,0.0,0.0,-7.6703
43.5,0.0,0.0,0.0,0.0,-0.0147,0.9895,-0.0974,0.0,0.0,-7.3776
43.6,0.0,0.0,0.0,0.0,-0.0146,0.9866,-0.0958,0.0,0.0,-7.0432
43.7,0.0,0.0,0.0,0.0,-0.014,0.9882,-0.0924,0.0,0.0,-6.8308
43.9,0.0,0.0,0.0,0.0,-0.0127,0.9892,-0.0895,0.0,0.0,-6.8991
44.1,0.0,0.0,0.0,0.0,-0.0104,0.9897,-0.0867,0.0,0.0,-6.8728
44.2,0.0,0.0,0.0,0.0,-0.0088,0.9884,-0.0855,0.0,0.0,-6.853
44.4,0.0,0.0,0.0,0.0,-0.0071,0.9884,-0.0842,0.0,0.0,-7.039
44.4,0.0,0.0,0.0,0.0,-0.0061,0.9895,-0.0845,0.0,0.0,-7.0911
44.4,0.0,0.0,0.0,0.0,-0.005,0.9904,-0.0826,0.0,0.0,-7.1281
44.4,0.0,0.0,0.0,0.0,-0.0037,0.9906,-0.0807,0.0,0.0,-7.2247
44.4,0.0,0.0,0.0,0.0,-0.0024,0.9908,-0.0813,0.0,0.0,-7.2476
44.5,0.0,0.0,0.0,0.0,-0.0013,0.9921,-0.0802,0.0,0.0,-7.191
44.5,0.0,0.0,0.0,0.0,-0.0016,0.9927,-0.0801,0.0,0.0,-7.0905
44.4,0.0,0.0,0.0,0.0,-0.0013,0.9952,-0.0789,0.0,0.0,-6.8573
44.3,0.0,0.0,0.0,0.0,0.0016,0.9946,-0.0799,0.0,0.0,-6.7093
44.2,0.0,0.0,0.0,0.0,0.0036,0.9934,-0.0818,0.0,0.0,-6.9814
43.8,0.0,0.0,0.0,0.0,0.0043,0.9922,-0.0804,0.0,0.0,-6.979
42.9,0.0,0.0,0.0,0.0,0.0047,0.989,-0.0809,0.0,0.0,-7.0852
41.7,0.0,0.0,0.0,0.0,0.0054,0.9875,-0.0809,0.0,0.0,-7.1227
40.8,0.0,0.0,0.0,0.0,0.0049,0.9884,-0.0826,0.0,0.0,-7.0115
39.9,0.0,0.0,0.0,0.0,0.0041,0.9888,-0.0805,0.0,0.0,-7.0343
38.7,0.0,0.0,0.0,0.0,0.0058,0.9874,-0.0766,0.0,0.0,-6.9571
37.7,0.0,0.0,0.0,0.0,0.0059,0.9869,-0.0741,0.0,0.0,-7.1029
36.8,0.0,0.0,0.0,0.0,0.0063,0.9886,-0.0737,0.0,0.0,-7.0448
36.3,0.0,0.0,0.0,0.0,0.006,0.9905,-0.0712,0.0,0.0,-6.804
36.4,0.0,0.0,0.0,0.0,0.0069,0.9904,-0.0697,0.0,0.0,-6.4406
36.7,0.0,0.0,0.0,0.0,0.009,0.9911,-0.069,0.0,0.0,-6.1266
37.2,0.0,0.0,0.0,0.0,0.0113,0.9932,-0.0649,0.0,0.0,-5.9921
38.0,0.0,0.0,0.0,0.0,0.0159,0.9932,-0.057,0.0,0.0,-5.884
38.7,0.0,0.0,0.0,0.0,0.0195,0.9929,-0.0559,0.0,0.0,-5.941
39.4,0.0,0.0,0.0,0.0,0.0248,0.9939,-0.0541,0.0,0.0,-6.051
40.0,0.0,0.0,0.0,0.0,0.0283,0.9943,-0.0504,0.0,0.0,-6.2003
40.5,0.0,0.0,0.0,0.0,0.0317,0.9954,-0.049,0.0,0.0,-6.2722
40.9,0.0,0.0,0.0,0.0,0.0343,0.9946,-0.048,0.0,0.0,-6.3964
41.2,0.0,0.0,0.0,0.0,0.0367,0.9941,-0.0465,0.0,0.0,-6.4693
41.5,0.0,0.0,0.0,0.0,0.0386,0.9939,-0.0451,0.0,0.0,-6.6257
41.7,0.0,0.0,0.0,0.0,0.0402,0.9943,-0.0442,0.0,0.0,-6.697
42.0,0.0,0.0,0.0,0.0,0.0415,0.9944,-0.0433,0.0,0.0,-6.7932
42.2,0.0,0.0,0.0,0.0,0.042,0.9947,-0.0428,0.0,0.0,-6.9584
42.4,0.0,0.0,0.0,0.0,0.0424,0.9951,-0.0424,0.0,0.0,-7.0385
42.6,0.0,0.0,0.0,0.0,0.0432,0.9957,-0.0433,0.0,0.0,-7.2341
42.8,0.0,0.0,0.0,0.0,0.0438,0.9961,-0.0424,0.0,0.0,-7.3072
40.8,94.1,68.5,67.5,53.8,1.0764,-0.1215,-0.1393,0.0,0.0,0.0
40.9,94.2,68.5,67.4,54.5,1.0764,-0.1213,-0.1398,0.0,0.0,0.0
40.9,94.2,68.4,67.4,55.2,1.0757,-0.1219,-0.1387,0.0,0.0,0.0
40.9,94.2,68.4,67.4,55.9,1.076,-0.1209,-0.1398,0.0,0.0,0.0
41.0,94.3,68.4,67.4,56.5,1.0757,-0.1212,-0.1389,0.0,0.0,0.0
41.0,94.3,68.4,67.3,57.2,1.0765,-0.1203,-0.1405,0.0,0.0,0.0
41.0,94.3,68.4,67.3,58.2,1.076,-0.1196,-0.1393,0.0,0.0,0.0
41.0,94.3,68.4,67.3,59.2,1.0763,-0.1196,-0.1404,0.0,0.0,0.0
41.0,94.2,68.4,67.3,60.2,1.0763,-0.1191,-0.1395,0.0,0.0,0.0
41.0,94.2,68.4,67.3,60.9,1.0762,-0.1191,-0.1399,0.0,0.0,0.0
41.0,94.2,68.3,67.3,61.5,1.0764,-0.1188,-0.1401,0.0,0.0,0.0
41.1,94.2,68.3,67.3,62.1,1.0766,-0.1185,-0.1405,0.0,0.0,0.0
41.1,94.1,68.3,67.3,62.8,1.0766,-0.1192,-0.1408,0.0,0.0,0.0
41.1,93.9,68.3,67.3,63.5,1.0763,-0.1188,-0.1401,0.0,0.0,0.0
41.1,93.8,68.3,67.3,64.4,1.0766,-0.1183,-0.1409,0.0,0.0,0.0
41.1,93.7,68.3,67.3,65.4,1.0766,-0.1172,-0.141,0.0,0.0,0.0
41.1,93.6,68.3,67.4,66.5,1.0765,-0.118,-0.1408,0.0,0.0,0.0
41.1,93.5,68.3,67.4,67.2,1.0764,-0.1178,-0.1403,0.0,0.0,0.0
41.1,93.5,68.3,67.5,67.6,1.0762,-0.1183,-0.1399,0.0,0.0,0.0
41.1,93.4,68.3,67.5,67.7,1.0761,-0.1183,-0.1396,0.0,0.0,0.0
41.1,93.3,68.3,67.5,67.5,1.0764,-0.1179,-0.1408,0.0,0.0,0.0
41.0,93.2,68.3,67.6,67.0,1.0761,-0.1177,-0.1399,0.0,0.0,0.0
41.0,93.2,68.3,67.6,66.3,1.0759,-0.1187,-0.1397,0.0,0.0,0.0
41.0,93.1,68.3,67.7,65.9,1.0762,-0.1184,-0.1391,0.0,0.0,0.0
41.0,93.1,68.3,67.7,65.6,1.0763,-0.1187,-0.1397,0.0,0.0,0.0
41.0,93.1,68.3,67.8,65.2,1.0765,-0.1184,-0.1389,0.0,0.0,0.0
41.0,93.1,68.3,67.8,64.8,1.0768,-0.118,-0.1394,0.0,0.0,0.0
41.0,93.1,68.3,67.9,64.4,1.0767,-0.1187,-0.139,0.0,0.0,0.0
41.0,93.0,68.3,68.0,64.0,1.0773,-0.1184,-0.1402,0.0,0.0,0.0
41.0,93.0,68.3,68.0,63.3,1.0767,-0.1183,-0.1391,0.0,0.0,0.0
41.0,93.0,68.3,68.0,62.5,1.0771,-0.1182,-0.1398,0.0,0.0,0.0
41.0,92.9,68.3,68.0,61.9,1.0765,-0.1185,-0.1391,0.0,0.0,0.0
41.0,92.8,68.3,67.9,61.6,1.0768,-0.1182,-0.1394,0.0,0.0,0.0
41.0,92.6,68.3,67.8,61.6,1.0771,-0.1181,-0.139,0.0,0.0,0.0
41.0,92.5,68.2,67.7,61.6,1.0771,-0.1174,-0.1395,0.0,0.0,0.0
41.0,92.3,68.2,67.6,61.6,1.0768,-0.1181,-0.1394,0.0,0.0,0.0
41.0,92.1,68.2,67.5,61.8,1.0771,-0.117,-0.1394,0.0,0.0,0.0
40.9,91.9,68.2,67.4,61.9,1.077,-0.1176,-0.1398,0.0,0.0,0.0
40.9,91.8,68.2,67.3,62.1,1.0771,-0.1163,-0.14,0.0,0.0,0.0
40.9,91.7,68.2,67.2,62.4,1.0769,-0.1165,-0.1406,0.0,0.0,0.0
40.9,91.7,68.3,67.2,62.7,1.0764,-0.1159,-0.1397,0.0,0.0,0.0
40.8,91.7,68.3,67.1,63.0,1.0765,-0.1161,-0.1398,0.0,0.0,0.0
40.7,91.7,68.3,67.0,63.3,1.0764,-0.1154,-0.1399,0.0,0.0,0.0
40.6,91.7,68.4,67.0,63.7,1.0757,-0.1157,-0.1395,0.0,0.0,0.0
40.5,91.7,68.4,66.9,64.1,1.0759,-0.1164,-0.1396,0.0,0.0,0.0
40.4,91.7,68.5,66.9,64.6,1.0759,-0.1162,-0.1386,0.0,0.0,0.0
40.3,91.7,68.5,66.9,65.0,1.076,-0.1169,-0.1384,0.0,0.0,0.0
40.3,91.7,68.6,66.9,65.5,1.0761,-0.1164,-0.1382,0.0,0.0,0.0
40.2,91.7,68.6,66.8,65.9,1.076,-0.1173,-0.1385,0.0,0.0,0.0
40.1,91.8,68.7,66.8,66.3,1.0758,-0.1172,-0.1384,0.0,0.0,0.0
40.0,91.8,68.7,66.8,66.7,1.0757,-0.1183,-0.1383,0.0,0.0,0.0
39.9,91.8,68.7,66.8,67.1,1.0755,-0.1173,-0.1375,0.0,0.0,0.0
39.9,91.8,68.7,66.8,67.5,1.0754,-0.1182,-0.1372,0.0,0.0,0.0
39.8,91.8,68.8,66.8,67.8,1.0754,-0.1169,-0.1373,0.0,0.0,0.0
39.8,91.8,68.8,66.9,68.1,1.076,-0.1169,-0.1385,0.0,0.0,0.0
39.7,91.8,68.8,66.9,68.4,1.0759,-0.1169,-0.1385,0.0,0.0,0.0
39.7,91.9,68.9,66.9,68.7,1.076,-0.1164,-0.139,0.0,0.0,0.0
39.6,91.9,68.9,66.9,68.9,1.0761,-0.1161,-0.1391,0.0,0.0,0.0
39.6,91.9,68.9,66.9,69.1,1.0761,-0.1161,-0.1395,0.0,0.0,0.0
39.5,92.0,69.0,67.0,69.3,1.0763,-0.1158,-0.1395,0.0,0.0,0.0
39.5,92.0,69.0,67.0,69.4,1.0765,-0.1157,-0.1394,0.0,0.0,0.0
39.5,92.0,69.0,67.0,69.5,1.0767,-0.1164,-0.1397,0.0,0.0,0.0
39.6,92.0,69.0,67.0,69.6,1.0765,-0.1154,-0.1392,0.0,0.0,0.0
39.8,92.1,69.1,67.1,69.4,1.0765,-0.1165,-0.1399,0.0,0.0,0.0
39.9,92.1,69.1,67.1,68.4,1.0762,-0.1163,-0.1389,0.0,0.0,0.0
40.0,92.1,69.1,67.1,67.7,1.076,-0.1166,-0.1384,0.0,0.0,0.0
40.1,92.2,69.1,67.2,67.2,1.0756,-0.1166,-0.1385,0.0,0.0,0.0
40.2,92.2,69.0,67.2,66.3,1.0757,-0.1173,-0.1388,0.0,0.0,0.0
40.3,92.2,69.0,67.2,65.9,1.076,-0.1169,-0.1391,0.0,0.0,0.0
40.4,92.2,69.0,67.2,65.9,1.0758,-0.1165,-0.1388,0.0,0.0,0.0
40.5,92.2,69.0,67.2,65.9,1.0754,-0.1174,-0.1381,0.0,0.0,0.0
